"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"261","PP16MSA1","PP16MSa1","Printers Pass",2016-07-01,NA,2016-07-02,2016,11,NA,NA,5,NA,NA,NA,NA,NA,NA,18.2,4.6,"Kluane",2016,NA,NA,NA,"PP16MSA1"
"262","PP16MSA2","PP16MSa2","Printers Pass",2016-07-01,NA,2016-07-02,2016,7,NA,NA,6,NA,NA,NA,NA,NA,NA,8.8,6.8,"Kluane",2016,NA,NA,NA,"PP16MSA2"
"263","PP16MSA3","PP16MSa3","Printers Pass",2016-07-01,NA,2016-07-02,2016,7,NA,NA,8,NA,NA,NA,NA,NA,NA,5.3,7.9,"Kluane",2016,NA,NA,NA,"PP16MSA3"
"264","PP16MSA4","PP16MSa4","Printers Pass",2016-07-01,NA,2016-07-02,2016,8,NA,NA,4,NA,NA,NA,NA,NA,NA,20.6,5.1,"Kluane",2016,NA,NA,NA,"PP16MSA4"
"265","PP16MSA5","PP16MSa5","Printers Pass",2016-07-01,NA,2016-07-02,2016,7,NA,NA,4,NA,NA,NA,NA,NA,NA,13.4,7.3,"Kluane",2016,NA,NA,NA,"PP16MSA5"
"266","KP16SR1","KP16SR1","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,143,151,139,48.9,NA,NA,NA,NA,NA,NA,33.4,6.7,"Kluane",2016,NA,NA,145,"KP16SR1"
"267","KP16SR2","KP16SR2","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,131,181,230,49.9,NA,NA,NA,NA,NA,NA,34.5,8.4,"Kluane",2016,NA,NA,205.5,"KP16SR2"
"268","KP16SR3","KP16SR3","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,80,92,87,27.1,NA,NA,NA,NA,NA,NA,36.7,13.6,"Kluane",2016,NA,NA,89.5,"KP16SR3"
"269","KP16SR4","KP16SR4","Kluane Plateau",2016-07-05,2016-07-06,2016-08-09,2016,81,44,52,25.7,NA,NA,NA,NA,NA,NA,40.6,12.1,"Kluane",2016,NA,NA,48,"KP16SR4"
"270","KP16SR5","KP16SR5","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,157,329,323,57.3,NA,NA,NA,NA,NA,NA,36.4,10.2,"Kluane",2016,NA,NA,326,"KP16SR5"
"271","KP16SR6","KP16SR6","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,70,78,92,14.1,NA,NA,NA,NA,NA,NA,40.1,9.6,"Kluane",2016,NA,NA,85,"KP16SR6"
"272","KP16SR7","KP16SR7","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,54,102,139,18.1,NA,NA,NA,NA,NA,NA,29.9,10.8,"Kluane",2016,NA,NA,120.5,"KP16SR7"
"273","KP16SR8","KP16SR8","Kluane Plateau",2016-07-05,2016-07-06,2016-08-08,2016,58,131,81,29.4,NA,NA,NA,NA,NA,NA,35.7,12.4,"Kluane",2016,NA,NA,106,"KP16SR8"
